메뉴명,음식분류,주재료,조리방식,맵기단계,배식인원(명),평균만족도,잔반량(kg),평균대기시간(분),재배식요청횟수
보쌈,한식,돼지고기,삶기,안 매움,525,4.6,9.8,13.2,42
영양닭죽,한식,닭고기,끓이기,안 매움,388,3.4,27.5,5.8,18
닭갈비,한식,닭고기,볶기,매움,512,,11.2,12.4,38
순대야채볶음,한식,돼지고기,볶기,매움,455,3.9,19,8.7,20
간장찜닭,한식,닭고기,찜,안 매움,538,4.7,7.6,14.1,49
부대찌개,한식,가공육,끓이기,약간 매움,498,4.3,13.8,10.5,31
냉모밀,일식,메밀,면,안 매움,472,4.1,16.4,7.2,24
가자미빵가루튀김,한식,생선,튀기기,안 매움,430,3.7,22.1,9.3,16
치킨마요덮밥,퓨전,닭고기,덮밥,안 매움,556,4.8,5.4,15.6,57
로제떡볶이,분식,쌀떡,볶기,약간 매움,548,4.7,6.1,16.8,54
뼈없는감자탕,한식,돼지고기,끓이기,매움,510,4.4,10.9,11.7,36
들기름막국수,한식,메밀,면,안 매움,,4,17.3,7.9,22
새우볶음밥,중식,새우,볶기,안 매움,501,4.3,12.7,9.8,
해물볶음우동,일식,해산물,볶기,약간 매움,489,4.2,14.5,10.9,29
닭강정,한식,닭고기,튀기기,약간 매움,565,4.9,0,18.1,63
회오리감자,간식,감자,튀기기,안 매움,542,4.6,5.8,17.4,51
아비꼬카레라이스,일식,돼지고기,덮밥,,520,4.5,9.7,13.7,40
마라탕,중식,혼합재료,끓이기,매우 매움,478,9.4,8.6,19.2,4
미트소스스파게티,양식,쇠고기,면,안 매움,508,4.4,11.5,55.8,35
떡볶이,분식,쌀떡,볶기,매움,535,4.6,,15.2,46
콘치즈불닭,,닭고기,볶기,매우 매움,496,4.3,15.9,18.6,32
생선가스,양식,생선,튀기기,안 매움,443,3.8,21.3,10.1,18
돈까스,일식,돼지고기,튀기기,안 매움,559,4.8,5.1,17.9,59
오므라이스,양식,계란,볶기,안 매움,1328,4.2,13.9,11.3,30
쌀국수,동남아식,쌀면,면,약간 매움,467,4,17.8,8.6,0
쇠고기버터장조림비빔밥,퓨전,쇠고기,비비기,안 매움,531,4.6,7.9,14.8,45
수제참치마요밥버거,퓨전,참치,비비기,안 매움,550,0,6.3,16.2,53
삼색소보로덮밥,일식,쇠고기,덮밥,안 매움,467,4.1,14.8,10.7,27
대패삼겹살비빔밥,한식,돼지고기,비비기,약간 매움,544,4.7,6.8,15.9,50
조각피자,양식,치즈,굽기,안 매움,552,4.8,4.9,18.5,58
반마리옛날통닭,한식,닭고기,튀기기,안 매움,570,4.9,,21.4,68
